                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.041,                 1.4048,                0.96051,                0.95818,                0.96528,                  0.995,                0.47654,                 1.8808,                0.97666,                 0.9358,              0.0012366,              0.0012366,              0.0012366
                     36,                 2.0547,                 1.2812,                0.94477,                 0.9527,                0.91273,                0.96821,                0.50487,                  2.109,                 1.1077,                 1.0088,              0.0012309,              0.0012309,              0.0012309
                     37,                  1.997,                 1.3273,                0.93373,                      1,                0.85543,                0.97861,                0.46252,                  1.949,                 1.1699,                0.94516,              0.0012253,              0.0012253,              0.0012253
                     38,                 2.0468,                 1.3677,                0.90621,                0.92445,                0.78552,                0.98854,                0.51088,                 1.8506,                 1.0892,                0.93714,              0.0012196,              0.0012196,              0.0012196
                     39,                 1.9441,                 1.3437,                 0.9207,                0.98038,                0.91919,                0.98489,                0.48069,                 1.8317,                 1.1217,                0.93148,               0.001214,               0.001214,               0.001214
                     40,                 1.9878,                 1.3509,                0.91704,                0.96779,                0.81578,                0.97899,                0.51315,                 1.8493,                 1.1393,                0.92823,              0.0012083,              0.0012083,              0.0012083
                     41,                  2.009,                 1.2994,                0.94342,                0.98462,                0.94021,                0.98875,                0.44719,                 1.8066,                 1.2445,                0.92994,              0.0012026,              0.0012026,              0.0012026
                     42,                  1.966,                 1.2056,                0.92674,                0.96683,                0.70717,                0.84848,                0.38184,                 1.9317,                 1.1211,                0.93355,               0.001197,               0.001197,               0.001197
                     43,                 1.9342,                  1.238,                0.90552,                0.90448,                0.60879,                0.79885,                0.43934,                 1.6839,                 1.1647,                0.90606,              0.0011913,              0.0011913,              0.0011913
                     44,                 1.9654,                 1.2924,                0.91659,                0.78948,                0.76397,                0.88376,                0.38944,                 1.8955,                 1.1302,                0.95791,              0.0011857,              0.0011857,              0.0011857
                     45,                 1.8777,                 1.2257,                0.88453,                0.88338,                0.78465,                0.86274,                0.40398,                  1.748,                 1.0417,                0.92981,                0.00118,                0.00118,                0.00118
                     46,                 2.0438,                 1.3088,                0.90699,                0.93293,                0.87847,                0.95273,                0.50355,                 1.8474,                 1.1555,                0.94129,              0.0011744,              0.0011744,              0.0011744
                     47,                 1.9523,                 1.1976,                0.95269,                0.86236,                0.90139,                0.95036,                0.49896,                 1.8582,                 1.0223,                0.94178,              0.0011687,              0.0011687,              0.0011687
                     48,                 1.9609,                  1.241,                0.92895,                0.88253,                 0.7619,                0.88538,                0.41819,                 2.0296,                 1.1601,                0.96511,               0.001163,               0.001163,               0.001163
                     49,                  2.021,                 1.1794,                0.93209,                   0.96,                0.87023,                0.93968,                0.46964,                 1.9203,                  1.104,                0.93744,              0.0011574,              0.0011574,              0.0011574
